studio,title_count,sum_dom_gross,year_count,avg_runtime_min,average_rating,total_votes
3D,1,6100000.0,1,41.0,6.9,364.0
A23,2,164200.0,2,82.5,6.95,2859.0
A24,49,367127500.0,6,96.80851063829788,6.244680851063831,2945783.0
ADC,2,248200.0,2,91.0,6.25,43064.0
AF,6,4344900.0,4,73.125,6.2375,35443.0
AGF,1,31600.0,1,85.5,3.5,25.0
ALP,1,14000.0,1,83.4,2.7,17821.0
AM,1,237000.0,1,108.0,6.3,1035.0
AR,2,350000.0,2,118.0,4.9,811.0
ATO,4,1507000.0,3,95.2,6.1,37363.0
AZ,1,116000.0,1,99.0,6.9,381.0
AaF,1,1400000.0,1,,,0.0
Abk.,1,294000.0,1,133.0,7.5,6682.0
Abr.,10,6133700.0,6,88.0,6.6125,23561.0
Affirm,2,23400000.0,2,108.0,6.35,6882.0
Alc,5,1020700.0,1,105.66666666666667,5.6000000000000005,32158.0
Amazon,7,24099999.0,2,114.0,6.6000000000000005,128602.0
Ampl.,5,2366600.0,3,83.2,4.640000000000001,60932.0
Anch.,18,13044700.0,4,103.15384615384616,5.992307692307692,278851.0
Annapurna,6,134000000.0,2,119.28571428571429,6.528571428571429,212189.0
App.,1,7200000.0,1,107.0,7.8999999999999995,43839.0
ArcEnt,2,9100000.0,1,,,0.0
Argo.,1,29300.0,1,,,0.0
Arrow,1,21000.0,1,98.0,5.7,854.0
Arth.,1,376000.0,1,98.0,6.7,8264.0
Asp.,1,1041000.0,1,72.33333333333333,2.2666666666666666,1389.0
Aviron,3,57200000.0,2,110.0,6.7,9882.0
B360,1,87900.0,1,72.0,7.3,905.0
BBC,3,130100.0,3,97.5,7.55,2020.0
BG,16,93200700.0,3,99.54166666666667,5.545833333333333,351613.0
BGP,1,38100.0,1,105.0,7.2,4727.0
BH Tilt,5,66500000.0,3,81.0,6.142857142857143,174956.0
BM&DH,1,332000.0,1,85.5,6.6,6230.0
BSC,1,6700000.0,1,159.0,8.1,93243.0
BSM,1,5100.0,1,,,0.0
BST,22,146849998.0,4,106.42857142857143,6.557142857142857,718243.0
BV,106,23136929199.0,9,99.14150943396227,6.332075471698115,19217339.0
BWP,4,244200.0,3,99.0,7.033333333333334,12698.0
Blue Fox,1,91000.0,1,91.0,6.1,4797.0
CARUSEL,2,23000.0,1,,,0.0
CAVU,1,25300.0,1,100.0,5.6,224.0
CBS,17,322900000.0,6,99.76923076923077,6.484615384615386,1179689.0
CE,3,26900000.0,1,91.0,5.65,16948.0
CF&SR,1,1500000.0,1,87.0,7.3,957.0
CFI,1,96000.0,1,99.0,7.2,4063.0
CFilms,1,31500.0,1,,,0.0
CGld,11,1525400.0,6,100.23529411764706,5.164705882352941,61039.0
CJ,56,18840100.0,9,119.21739130434783,6.402173913043479,75121.0
CL,74,19888200.0,9,110.08888888888889,5.5266666666666655,43377.0
CLF,1,6000000.0,1,110.33333333333333,4.666666666666667,33646.0
CLS,4,339900.0,4,66.66666666666667,4.766666666666667,7283.0
CP,1,128000.0,1,,,0.0
CZ,3,1038100.0,2,,,0.0
Cdgm.,7,1604000.0,2,99.85714285714286,6.214285714285714,157798.0
CineGalaxy,1,3900000.0,1,153.0,6.3,10440.0
Cleopatra,1,82700.0,1,103.0,7.4,23204.0
Cohen,40,25975100.0,8,95.48780487804878,5.839024390243902,297248.0
Conglomerate,1,147000.0,1,,,0.0
Crimson,1,54200.0,1,117.0,6.2,577.0
Crnth,4,32700.0,2,95.75,5.0,3102.0
DF,1,40600.0,1,88.0,6.5,2136.0
DLA,1,236000.0,1,,,0.0
DR,1,5600.0,1,80.85714285714286,3.314285714285714,3661.0
Da.,3,181500.0,3,58.0,6.300000000000001,4675.0
Darin Southa,1,93200.0,1,,,0.0
Distrib.,20,1376200.0,6,100.33333333333333,6.5,11740.0
Dreamwest,1,57800.0,1,130.0,7.3,1102.0
Drft.,20,7556900.0,6,95.625,6.041666666666664,307451.0
E1,1,340000.0,1,,,0.0
EC,5,46124600.0,2,102.25,5.7,128634.0
EF,1,22800.0,1,94.0,6.2,7921.0
ELS,1,2300000.0,1,100.0,6.2,1538.0
ENTMP,5,138800000.0,2,99.375,5.65,139083.0
EOne,21,13604700.0,6,92.43478260869566,5.908695652173913,397463.0
EXCL,1,319000.0,1,112.0,6.2,29703.0
Electric,2,3427100.0,2,100.0,5.85,21196.0
Elev.,11,4605200.0,8,110.0,7.6499999999999995,44660.0
EpicPics,2,25700.0,2,94.0,4.7,7627.0
Eros,89,88897099.0,9,133.2987012987013,5.712987012987013,748525.0
FCW,12,3412400.0,5,85.21428571428571,4.692857142857143,184895.0
FD,14,415904000.0,3,108.9,6.110000000000001,1057310.0
FEF,1,613000.0,1,84.0,7.3,269.0
FIP,26,39985500.0,7,136.35,5.610000000000001,188298.0
FInd.,1,303000.0,1,89.0,5.9,4664.0
FM,42,3370299.0,9,86.16,5.271999999999999,102995.0
FOAK,1,107000.0,1,95.0,5.1,11069.0
FOR,1,10200.0,1,100.0,6.8,1108.0
FR,10,2376200.0,4,94.1,6.889999999999999,42939.0
FRun,12,377800.0,5,96.75,6.6625000000000005,11209.0
FUN,12,23411000.0,4,108.2,7.25,213771.0
Fathom,10,11447000.0,3,98.0,6.9,43796.0
First,2,72100.0,1,100.0,5.2,1441.0
Focus,60,1427641000.0,9,104.36923076923077,6.320000000000001,4570743.0
Fox,136,12909299997.0,9,99.01307189542484,5.676470588235294,18514704.0
FoxS,67,1392831500.0,9,95.70786516853933,5.974157303370788,5936854.0
Free,12,75333800.0,4,100.625,5.7875,107229.0
