studio,title_count,sum_dom_gross,year_count,avg_runtime_min,average_rating,total_votes
3D,1,6100000.0,1,41.0,6.9,364.0
A23,2,164200.0,2,82.5,6.95,2859.0
A24,42,279763800.0,6,103.4090909090909,6.522222222222224,2945783.0
ADC,2,248200.0,2,91.0,6.25,43064.0
AF,5,3189900.0,4,96.5,7.128571428571428,35443.0
AGF,1,15800.0,1,95.0,7.0,25.0
ALP,1,5600.0,1,105.0,6.75,17821.0
AM,1,237000.0,1,108.0,6.3,1035.0
AR,1,350000.0,1,118.0,4.9,811.0
ATO,4,1507000.0,3,95.2,6.1,37363.0
AZ,1,116000.0,1,99.0,6.9,381.0
Abk.,1,294000.0,1,133.0,7.5,6682.0
Abr.,7,4002300.0,6,100.57142857142857,7.557142857142857,23561.0
Affirm,2,23400000.0,2,108.0,6.35,6882.0
Alc,3,670700.0,1,105.66666666666667,5.6000000000000005,32158.0
Amazon,3,6400000.0,2,114.0,6.6000000000000005,128602.0
Ampl.,4,1652300.0,3,104.0,5.800000000000001,60932.0
Anch.,12,1206700.0,4,103.15384615384616,5.992307692307692,278851.0
Annapurna,6,134000000.0,2,119.28571428571429,6.528571428571429,212189.0
App.,1,7200000.0,1,107.0,7.8999999999999995,43839.0
Arrow,1,21000.0,1,98.0,5.7,854.0
Arth.,1,376000.0,1,98.0,6.7,8264.0
Asp.,1,347000.0,1,100.0,6.8,1389.0
Aviron,1,1600000.0,1,110.0,6.7,9882.0
B360,1,87900.0,1,72.0,7.3,905.0
BBC,2,88800.0,2,97.5,7.55,2020.0
BG,16,93004200.0,3,106.0952380952381,6.338095238095238,351613.0
BGP,1,38100.0,1,105.0,7.2,4727.0
BH Tilt,5,66500000.0,3,94.5,6.142857142857143,174956.0
BM&DH,1,332000.0,1,85.5,6.6,6230.0
BSC,1,6700000.0,1,159.0,8.1,93243.0
BST,18,123659998.0,4,110.3,6.885,718243.0
BV,86,16998299999.0,9,110.82978723404256,6.919587628865981,19217339.0
BWP,2,220200.0,2,99.0,7.033333333333334,12698.0
Blue Fox,1,91000.0,1,91.0,6.1,4797.0
CAVU,1,25300.0,1,100.0,5.6,224.0
CBS,13,277000000.0,5,99.76923076923077,6.484615384615386,1179689.0
CE,2,23700000.0,1,91.0,5.65,16948.0
CF&SR,1,1500000.0,1,87.0,7.3,957.0
CFI,1,96000.0,1,99.0,7.2,4063.0
CGld,8,1176800.0,5,119.53846153846153,6.753846153846154,61039.0
CJ,42,12207600.0,8,121.20454545454545,6.693181818181819,75121.0
CL,39,10704000.0,8,112.90697674418605,5.783720930232557,43377.0
CLF,1,4000000.0,1,113.5,7.0,33646.0
CLS,2,67700.0,2,100.0,7.15,7283.0
Cdgm.,7,1604000.0,2,99.85714285714286,6.214285714285714,157798.0
CineGalaxy,1,3900000.0,1,153.0,6.3,10440.0
Cleopatra,1,82700.0,1,103.0,7.4,23204.0
Cohen,34,21325200.0,8,104.08571428571429,6.65,297248.0
Crimson,1,54200.0,1,117.0,6.2,577.0
Crnth,3,25100.0,2,104.33333333333333,6.666666666666667,3102.0
DF,1,40600.0,1,88.0,6.5,2136.0
DR,1,3200.0,1,115.0,5.8,3661.0
Da.,1,35400.0,1,116.0,6.300000000000001,4675.0
Distrib.,9,294700.0,5,100.33333333333333,6.5,11740.0
Dreamwest,1,57800.0,1,130.0,7.3,1102.0
Drft.,18,6427400.0,6,106.57142857142857,6.904761904761902,307451.0
EC,4,26424600.0,2,102.25,5.7,128634.0
EF,1,22800.0,1,94.0,6.2,7921.0
ELS,1,2300000.0,1,100.0,6.2,1538.0
ENTMP,5,138800000.0,2,99.375,5.65,139083.0
EOne,15,12161000.0,5,99.55,6.4714285714285715,397463.0
EXCL,1,319000.0,1,112.0,6.2,29703.0
Electric,2,3427100.0,2,100.0,5.85,21196.0
Elev.,4,2905000.0,3,110.0,7.6499999999999995,44660.0
EpicPics,1,11300.0,1,94.0,4.7,7627.0
Eros,71,74246899.0,9,137.4189189189189,5.788157894736843,748525.0
FCW,9,2670500.0,3,97.5,5.972727272727273,184895.0
FD,10,250204000.0,3,108.9,6.110000000000001,1057310.0
FEF,1,613000.0,1,84.0,7.3,269.0
FIP,18,29550500.0,6,139.8421052631579,5.905263157894738,188298.0
FInd.,1,303000.0,1,89.0,5.9,4664.0
FM,32,2368299.0,8,101.89473684210526,6.758974358974358,102995.0
FOAK,1,107000.0,1,95.0,5.1,11069.0
FOR,1,10200.0,1,100.0,6.8,1108.0
FR,9,2364700.0,4,94.1,6.889999999999999,42939.0
FRun,8,181600.0,4,96.75,6.6625000000000005,11209.0
FUN,10,22586000.0,4,108.2,7.25,213771.0
Fathom,2,3994000.0,2,98.0,6.9,43796.0
First,1,2000.0,1,100.0,5.2,1441.0
Focus,50,1223840000.0,9,107.79032258064517,6.625806451612904,4570743.0
Fox,117,10955299998.0,9,107.08759124087591,6.293478260869565,18514704.0
FoxS,62,1168831500.0,9,104.71794871794872,6.730379746835445,5936854.0
Free,8,61149500.0,3,100.625,5.7875,107229.0
GK,17,8250300.0,7,95.3529411764706,7.341176470588234,214432.0
Gaatri,1,898000.0,1,144.0,7.1,1197.0
Ghop,2,56700.0,1,117.0,7.25,4959.0
Global Road,3,34200000.0,1,92.33333333333333,5.466666666666666,50264.0
Gold.,20,11666800.0,7,101.0,6.885,326814.0
Good Deed,1,6700000.0,1,94.0,7.8,39737.0
Grav.,5,612100.0,4,95.4,6.76,11103.0
Greenwich,2,2695000.0,1,93.75,6.5249999999999995,10911.0
Grindstone,1,10000.0,1,104.0,5.7,3455.0
