,title,studio,domestic_gross,year,runtime_minutes,averagerating,numvotes
0,Toy Story 3,BV,415000000.0,2010,103.0,8.3,682218.0
3,Inception,WB,292600000.0,2010,148.0,8.8,1841066.0
4,Shrek Forever After,P/DW,238700000.0,2010,93.0,6.3,167532.0
5,The Twilight Saga: Eclipse,Sum.,300500000.0,2010,124.0,5.0,211733.0
6,Iron Man 2,Par.,312400000.0,2010,124.0,7.0,657690.0
7,Tangled,BV,200800000.0,2010,100.0,7.8,366366.0
8,Despicable Me,Uni.,251500000.0,2010,95.0,7.7,464511.0
9,How to Train Your Dragon,P/DW,217600000.0,2010,98.0,8.1,611299.0
11,The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,104400000.0,2010,113.0,6.3,129663.0
12,The King's Speech,Wein.,135500000.0,2010,118.0,8.0,593629.0
14,The Karate Kid,Sony,176600000.0,2010,140.0,6.2,146401.0
15,Prince of Persia: The Sands of Time,BV,90800000.0,2010,116.0,6.6,254975.0
16,Black Swan,FoxS,107000000.0,2010,108.0,8.0,648854.0
17,Megamind,P/DW,148400000.0,2010,95.0,7.3,207488.0
18,Robin Hood,Uni.,105300000.0,2010,140.0,6.6,239480.0
19,Robin Hood,Uni.,105300000.0,2010,92.0,6.3,78.0
20,Robin Hood,Uni.,105300000.0,2010,116.0,5.3,41588.0
21,Robin Hood,Uni.,105300000.0,2010,,7.6,5.0
23,The Last Airbender,Par.,131800000.0,2010,103.0,4.1,137734.0
24,Little Fockers,Uni.,148400000.0,2010,98.0,5.5,99222.0
25,Resident Evil: Afterlife,SGem,60100000.0,2010,96.0,5.9,153270.0
26,Shutter Island,Par.,128000000.0,2010,138.0,8.1,1005960.0
27,Salt,Sony,118300000.0,2010,100.0,6.4,277204.0
28,Sex and the City 2,WB (NL),95300000.0,2010,146.0,4.4,69199.0
29,The Tourist,Sony,67600000.0,2010,103.0,6.0,206714.0
30,The Expendables,LGF,103100000.0,2010,103.0,6.5,307897.0
31,Grown Ups,Sony,162000000.0,2010,102.0,6.0,210377.0
33,True Grit,Par.,171200000.0,2010,110.0,7.6,284034.0
34,Gulliver's Travels,Fox,42800000.0,2010,85.0,4.9,61178.0
36,The Social Network,Sony,97000000.0,2010,120.0,7.7,568578.0
37,Valentine's Day,WB (NL),110500000.0,2010,125.0,5.7,107171.0
38,The Sorcerer's Apprentice,BV,63200000.0,2010,109.0,6.1,143862.0
39,Due Date,WB,100500000.0,2010,95.0,6.5,303523.0
40,Eat Pray Love,Sony,80600000.0,2010,133.0,5.8,77709.0
41,Yogi Bear,WB,100200000.0,2010,80.0,4.6,18934.0
42,Red,Sum.,90400000.0,2010,,5.8,9.0
45,Red,Sum.,90400000.0,2010,107.0,8.4,8.0
46,Red,Sum.,90400000.0,2010,90.0,8.1,26.0
47,Paranormal Activity 2,Par.,84800000.0,2010,91.0,5.7,93122.0
48,The A-Team,Fox,77200000.0,2010,117.0,6.8,235256.0
50,The Other Guys,Sony,119200000.0,2010,107.0,6.7,221664.0
51,Unstoppable,Fox,81600000.0,2010,98.0,6.8,173019.0
53,Unstoppable,Fox,81600000.0,2010,65.0,4.3,551.0
55,Unstoppable,Fox,81600000.0,2010,116.0,6.5,576.0
57,Unstoppable,Fox,81600000.0,2010,84.0,8.1,8.0
59,The Book of Eli,WB,94800000.0,2010,118.0,6.9,271307.0
60,The Town,WB,92200000.0,2010,125.0,7.6,322524.0
62,Date Night,Fox,98700000.0,2010,88.0,6.3,144683.0
63,Legend of the Guardians: The Owls of Ga'Hoole,WB,55700000.0,2010,97.0,7.0,73790.0
64,The Wolfman,Uni.,62000000.0,2010,103.0,5.8,97873.0
65,The Bounty Hunter,Sony,67099999.0,2010,110.0,5.6,112444.0
66,The Bounty Hunter,Sony,67099999.0,2010,,6.3,29.0
68,Wall Street: Money Never Sleeps,Fox,52500000.0,2010,133.0,6.2,93486.0
69,The Fighter,Par.,93600000.0,2010,116.0,7.8,316539.0
70,Predators,Fox,52000000.0,2010,107.0,6.4,199764.0
72,Dear John,SGem,80000000.0,2010,108.0,6.3,128657.0
73,Cats & Dogs: The Revenge of Kitty Galore,WB,43600000.0,2010,82.0,4.3,12642.0
74,Tooth Fairy,Fox,60000000.0,2010,101.0,5.0,37939.0
75,Tooth Fairy,Fox,60000000.0,2010,86.0,2.6,64.0
76,Life as We Know It,WB,53400000.0,2010,114.0,6.6,113077.0
78,Hereafter,WB,32700000.0,2010,129.0,6.5,87288.0
79,The Girl with the Dragon Tattoo,MBox,10100000.0,2010,158.0,7.8,387580.0
82,Killers,LGF,47100000.0,2010,100.0,5.4,82237.0
83,Killers,LGF,47100000.0,2010,137.0,6.5,4472.0
84,Kick-Ass,LGF,48100000.0,2010,117.0,7.6,497363.0
85,Green Zone,Uni.,35100000.0,2010,115.0,6.8,122132.0
86,Nanny McPhee Returns,Uni.,29000000.0,2010,109.0,6.1,25048.0
87,Get Him to the Greek,Uni.,61000000.0,2010,109.0,6.4,161653.0
88,Burlesque,SGem,39400000.0,2010,119.0,6.4,71021.0
89,Burlesque,SGem,39400000.0,2010,,7.0,45.0
90,The Last Song,BV,63000000.0,2010,107.0,6.0,74914.0
91,Dinner for Schmucks,P/DW,73000000.0,2010,114.0,5.9,91546.0
92,Marmaduke,Fox,33600000.0,2010,87.0,4.2,13283.0
93,Piranha 3D,W/Dim.,25000000.0,2010,88.0,5.4,81327.0
95,Edge of Darkness,WB,43300000.0,2010,117.0,6.6,84753.0
96,Vampires Suck,Fox,36700000.0,2010,82.0,3.4,43984.0
97,Letters to Juliet,Sum.,53000000.0,2010,105.0,6.6,86137.0
100,Diary of a Wimpy Kid,Fox,64000000.0,2010,94.0,6.2,38640.0
101,Easy A,SGem,58400000.0,2010,92.0,7.1,330125.0
103,Takers,SGem,57700000.0,2010,107.0,6.2,53377.0
106,The American,Focus,35600000.0,2010,105.0,6.3,86863.0
107,The Last Exorcism,LGF,41000000.0,2010,87.0,5.6,45815.0
108,The Next Three Days,LGF,21100000.0,2010,133.0,7.4,168066.0
110,Skyline,Uni.,21400000.0,2010,92.0,4.4,83710.0
111,Hot Tub Time Machine,MGM,50300000.0,2010,101.0,6.4,153962.0
112,Devil,Uni.,33600000.0,2010,80.0,6.2,122080.0
114,127 Hours,FoxS,18300000.0,2010,94.0,7.6,323949.0
116,Secretariat,BV,59700000.0,2010,123.0,7.2,24536.0
117,The Ghost Writer,Sum.,15500000.0,2010,128.0,7.2,148274.0
118,Morning Glory,Par.,31000000.0,2010,107.0,6.5,67367.0
119,Remember Me,Sum.,19100000.0,2010,113.0,7.1,129443.0
120,Remember Me,Sum.,19100000.0,2010,85.0,5.2,72.0
123,Cop Out,WB,44900000.0,2010,107.0,5.6,81656.0
124,The Crazies,Over.,39100000.0,2010,101.0,6.5,104465.0
125,From Paris with Love,LGF,24100000.0,2010,92.0,6.5,107079.0
127,Alpha and Omega,LGF,25100000.0,2010,90.0,5.3,12463.0
128,The Switch,Mira.,27800000.0,2010,101.0,6.1,90661.0
129,She's Out of My League,Par.,32000000.0,2010,104.0,6.4,117245.0
131,How Do You Know,Sony,30200000.0,2010,121.0,5.4,41072.0
132,Charlie St. Cloud,Uni.,31200000.0,2010,99.0,6.5,55016.0
133,Scott Pilgrim vs. the World,Uni.,31500000.0,2010,112.0,7.5,339338.0
134,Heartbreaker,IFC,504000.0,2010,105.0,6.8,23995.0
135,The Spy Next Door,LGF,24300000.0,2010,94.0,5.5,36767.0
137,Machete,Fox,26600000.0,2010,105.0,6.6,182320.0
140,When in Rome,BV,32700000.0,2010,91.0,5.6,57396.0
142,Going the Distance,WB (NL),17800000.0,2010,102.0,6.3,54421.0
144,Going the Distance,WB (NL),17800000.0,2010,117.0,3.9,13.0
147,For Colored Girls,LGF,37700000.0,2010,133.0,6.1,6728.0
149,Furry Vengeance,Sum.,17600000.0,2010,92.0,3.8,14700.0
150,Faster,CBS,23200000.0,2010,98.0,6.5,93618.0
151,The Kids Are All Right,Focus,20800000.0,2010,106.0,7.0,120656.0
152,You Will Meet a Tall Dark Stranger,SPC,3200000.0,2010,98.0,6.3,41608.0
155,Leap Year,Uni.,25900000.0,2010,100.0,6.5,86125.0
156,Leap Year,Uni.,25900000.0,2010,94.0,5.9,2211.0
157,You Again,BV,25700000.0,2010,105.0,5.8,46690.0
159,The Losers,WB,23600000.0,2010,97.0,6.4,83876.0
160,The Losers,WB,23600000.0,2010,112.0,1.7,70.0
162,Ramona and Beezus,Fox,26200000.0,2010,103.0,6.6,16086.0
165,Let Me In,Over.,12100000.0,2010,116.0,7.1,107012.0
166,Let Me In,Over.,12100000.0,2010,74.0,5.1,7.0
168,Just Wright,FoxS,21500000.0,2010,100.0,5.9,12466.0
169,Our Family Wedding,FoxS,20300000.0,2010,103.0,4.9,6417.0
170,My Soul to Take,Uni.,14700000.0,2010,107.0,4.8,18381.0
173,Country Strong,SGem,20200000.0,2010,117.0,6.3,16296.0
174,Another Year,SPC,3200000.0,2010,129.0,7.3,26273.0
175,Another Year,SPC,3200000.0,2010,107.0,6.6,294.0
176,Another Year,SPC,3200000.0,2010,181.0,7.2,40.0
178,Buried,LGF,1000000.0,2010,95.0,7.0,139426.0
180,Buried,LGF,1000000.0,2010,95.0,6.0,5.0
182,Repo Men,Uni.,13800000.0,2010,111.0,6.3,96144.0
187,The Nutcracker in 3D,Free,195000.0,2010,110.0,4.3,3119.0
188,Sea Rex 3D: Journey to a Prehistoric World,3D,6100000.0,2010,41.0,6.9,364.0
189,I Hate Luv Storys,UTV,848000.0,2010,129.0,5.7,6921.0
190,Extraordinary Measures,CBS,12100000.0,2010,106.0,6.5,15673.0
191,Somewhere,Focus,1800000.0,2010,97.0,6.3,40250.0
192,Winter's Bone,RAtt.,6500000.0,2010,100.0,7.2,127751.0
193,The Last Station,SPC,6600000.0,2010,,3.8,6.0
194,The Last Station,SPC,6600000.0,2010,90.0,7.6,10.0
195,Raajneeti,UTV,1500000.0,2010,163.0,7.2,15214.0
196,Made in Dagenham,SPC,1100000.0,2010,113.0,7.2,13121.0
197,Blue Valentine,Wein.,9700000.0,2010,112.0,7.4,170089.0
198,Tamara Drewe,SPC,560000.0,2010,107.0,6.2,19362.0
199,Chloe,SPC,3100000.0,2010,73.0,6.9,34.0
202,The Warrior's Way,Rela.,5700000.0,2010,100.0,6.3,24271.0
204,Jonah Hex,WB,10500000.0,2010,81.0,4.7,51860.0
206,Cyrus,FoxS,7500000.0,2010,87.0,4.7,944.0
207,Cyrus,FoxS,7500000.0,2010,91.0,6.3,32457.0
208,Conviction,FoxS,6800000.0,2010,107.0,7.2,39771.0
210,Conviction,FoxS,6800000.0,2010,110.0,7.0,234.0
212,Babies,Focus,7300000.0,2010,79.0,7.1,6672.0
213,Stone,Over.,1800000.0,2010,105.0,5.4,38667.0
214,Stone,Over.,1800000.0,2010,90.0,5.6,607.0
217,Never Let Me Go,FoxS,2400000.0,2010,103.0,7.1,130084.0
220,MacGruber,Uni.,8500000.0,2010,90.0,5.5,39782.0
222,Inside Job,SPC,4300000.0,2010,109.0,8.3,65304.0
223,The Joneses,RAtt.,1500000.0,2010,117.0,6.9,87.0
224,The Joneses,RAtt.,1500000.0,2010,80.0,5.9,15.0
225,Centurion,Magn.,124000.0,2010,97.0,6.4,74085.0
226,Animal Kingdom,SPC,1000000.0,2010,113.0,7.3,51576.0
229,It's Kind of a Funny Story,Focus,6400000.0,2010,101.0,7.1,125583.0
231,Greenberg,Focus,4200000.0,2010,107.0,6.1,33702.0
235,Exit Through the Gift Shop,PDA,3300000.0,2010,87.0,8.0,58721.0
238,Rabbit Hole,LGF,2200000.0,2010,91.0,7.0,45357.0
240,Vision,Zeit.,435000.0,2010,109.0,5.4,322.0
242,The Runaways,App.,3600000.0,2010,106.0,6.6,43792.0
243,The Runaways,App.,3600000.0,2010,108.0,9.2,47.0
244,Four Lions,Drft.,305000.0,2010,97.0,7.3,66209.0
246,Please Give,SPC,4000000.0,2010,87.0,6.6,10652.0
247,Monsters,Magn.,237000.0,2010,94.0,6.4,84332.0
249,Monsters,Magn.,237000.0,2010,87.0,4.0,6.0
252,Rare Exports: A Christmas Tale,Osci.,236000.0,2010,84.0,6.7,23923.0
253,The Killer Inside Me,IFC,217000.0,2010,109.0,6.1,31727.0
257,Catfish,Rog.,3200000.0,2010,87.0,7.1,38656.0
258,Wild Target,Free,109000.0,2010,98.0,6.8,33915.0
262,Kites,Relbig.,1600000.0,2010,123.0,6.1,11353.0
263,Letters to God,Viv.,2800000.0,2010,110.0,6.3,4443.0
264,Twelve,Hann.,184000.0,2010,93.0,5.7,11533.0
265,Twelve,Hann.,184000.0,2010,,8.4,17.0
266,Twelve,Hann.,184000.0,2010,92.0,6.5,132.0
268,Tees Maar Khan,UTV,1100000.0,2010,135.0,2.6,10122.0
270,Housefull,Eros,1200000.0,2010,144.0,5.5,11089.0
271,Housefull,Eros,1200000.0,2010,,3.9,8.0
272,Golmaal 3,Eros,1100000.0,2010,155.0,5.4,6616.0
274,Cairo Time,IFC,1600000.0,2010,110.0,6.1,167.0
275,Flipped,WB,1800000.0,2010,90.0,7.7,74937.0
276,Flipped,WB,1800000.0,2010,90.0,6.0,440.0
277,Guzaarish,UTV,1000000.0,2010,126.0,7.5,15402.0
279,Anjaana Anjaani,Eros,855000.0,2010,151.0,5.8,5533.0
281,Restrepo,NGE,1300000.0,2010,93.0,7.5,20691.0
282,Raavan,Relbig.,709000.0,2010,130.0,5.4,3847.0
284,It's a Wonderful Afterlife,UTV,,2010,100.0,5.4,1361.0
288,Howl,Osci.,617000.0,2010,84.0,6.8,12096.0
289,Howl,Osci.,617000.0,2010,89.0,5.3,9732.0
293,Casino Jack,ATO,1000000.0,2010,108.0,6.2,16191.0
294,Leaving,IFC,176000.0,2010,94.0,6.0,202.0
296,Khatta Meetha,Eros,542000.0,2010,157.0,5.8,8448.0
297,We Are Family,UTV,638000.0,2010,115.0,5.6,2614.0
298,We Are Family,UTV,638000.0,2010,,2.6,30.0
